P:N1,P:N2,净利润,年化收益率%
32,2,2786359.13,237.17
32,3,-116034.32,-10.95
32,4,1179735.08,100.42
32,5,2509755.38,213.63
32,6,3261040.35,277.58
32,7,3261040.35,277.58
32,8,3226307.73,274.62
32,9,3278474.9,279.06
32,10,3278474.9,279.06
32,11,3514105.8,299.12
32,12,1986142.3,169.06
32,13,1986142.3,169.06
32,14,2686336.6,228.66
32,15,2719688.57,231.5
32,16,2719688.57,231.5
32,17,2686336.6,228.66
32,18,1675093.2,142.58
32,19,1986142.3,169.06
32,20,1986142.3,169.06
32,21,1986142.3,169.06
32,22,1986142.3,169.06
32,23,2067469,175.98
32,24,2067469,175.98
32,25,2067469,175.98
32,26,2067469,175.98
32,27,1610804.92,137.11
32,28,1295769.4,110.29
32,29,1295769.4,110.29
32,30,1295769.4,110.29
32,31,1295769.4,110.29
32,32,0,0
32,33,1096515,95.41
32,34,423291.5,39
32,35,18429.53,1.78
32,36,176663.42,16.67
32,37,351078,32.73
32,38,47371.4,4.52
32,39,-153884,-15.06
32,40,-262615.75,-26.93
32,41,0,0
32,42,0,0
32,43,0,0
32,44,0,0
32,45,0,0
32,46,0,0
32,47,0,0
32,48,0,0
32,49,0,0
32,50,0,0
31,1,0,0
31,2,467678.53,44.29
31,3,-150766.95,-14.23
31,4,1145002.45,97.46
31,5,1145002.45,97.46
31,6,3226307.73,274.62
31,7,3226307.73,274.62
31,8,3226307.73,274.62
31,9,3298957.25,280.8
31,10,3452916.65,293.91
31,11,3538618.05,301.2
31,12,2843095.5,242
31,13,2843095.5,242
31,14,2843095.5,242
31,15,2843095.5,242
31,16,2719688.57,231.5
31,17,2719688.57,231.5
31,18,1675093.2,142.58
31,19,1986142.3,169.06
31,20,1986142.3,169.06
31,21,1986142.3,169.06
31,22,1986142.3,169.06
31,23,2067469,175.98
31,24,2067469,175.98
31,25,2067469,175.98
31,26,2067469,175.98
31,27,1610804.92,137.11
31,28,1295769.4,110.29
31,29,1295769.4,110.29
31,30,1295769.4,110.29
31,31,0,0
31,32,1093050.45,94.06
31,33,1096515,95.41
31,34,423291.5,39
31,35,18429.53,1.78
31,36,176663.42,16.67
31,37,351078,32.73
31,38,47371.4,4.52
31,39,-153884,-15.06
31,40,-262615.75,-26.93
31,41,0,0
31,42,0,0
31,43,0,0
31,44,0,0
31,45,0,0
31,46,0,0
31,47,0,0
31,48,0,0
31,49,0,0
31,50,0,0
30,1,0,0
30,2,1080347.77,91.96
30,3,-1313558.92,-111.81
30,4,798648.33,67.98
30,5,798648.33,67.98
30,6,3354003.85,285.49
30,7,3354003.85,285.49
30,8,3222477.92,274.29
30,9,3406171.02,289.93
30,10,3580612.77,304.78
30,11,2988188.92,254.35
30,12,2988188.92,254.35
30,13,2988188.92,254.35
30,14,2988188.92,254.35
30,15,2976794.63,253.38
30,16,2976794.63,253.38
30,17,2854388.2,242.96
30,18,1818797.33,154.81
30,19,2043803.43,173.97
30,20,2043803.43,173.97
30,21,2043803.43,173.97
30,22,2043803.43,173.97
30,23,2041055.8,173.73
30,24,2041055.8,173.73
30,25,2041055.8,173.73
30,26,2041055.8,173.73
30,27,1583641.35,134.8
30,28,1281962.5,109.12
30,29,1281962.5,109.12
30,30,0,0
30,31,900343.82,78.34
30,32,1208848.55,104.03
30,33,1096515,95.41
30,34,423291.5,39
30,35,18429.53,1.78
30,36,176663.42,16.67
30,37,351078,32.73
30,38,47371.4,4.52
30,39,-153884,-15.06
30,40,-262615.75,-26.93
30,41,0,0
30,42,0,0
30,43,0,0
30,44,0,0
30,45,0,0
30,46,0,0
30,47,0,0
30,48,0,0
30,49,0,0
30,50,0,0
29,1,0,0
29,2,1615541.6,137.51
29,3,-364802,-31.05
29,4,620855.6,52.85
29,5,864964.25,73.62
29,6,1456330.23,123.96
29,7,221219.3,18.83
29,8,1142714.35,97.27
29,9,3707778.8,315.6
29,10,2634471.13,224.24
29,11,2531742.27,215.5
29,12,3236805.55,275.51
29,13,3236805.55,275.51
29,14,3289796.7,280.02
29,15,3289796.7,280.02
29,16,3155995.98,268.63
29,17,3155995.98,268.63
29,18,2120405.1,180.49
29,19,2345411.2,199.64
29,20,2345411.2,199.64
29,21,2345411.2,199.64
29,22,2345411.2,199.64
29,23,2185492.2,186.03
29,24,2185492.2,186.03
29,25,2185492.2,186.03
29,26,2185492.2,186.03
29,27,1583641.35,134.8
29,28,1262775.9,107.49
29,29,0,0
29,30,1102327.5,94.86
29,31,900343.82,78.34
29,32,1060497,92.27
29,33,1096515,95.41
29,34,423291.5,39
29,35,18429.53,1.78
29,36,176663.42,16.67
29,37,351078,32.73
29,38,47371.4,4.52
29,39,-153884,-15.06
29,40,-262615.75,-26.93
